objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll01,,6wrDghuJ7z0,,Open Storytelling,"Fanara, Rose",3/25/2024,"Storytime for kids created for LIS 619, featuring a reading of John, Paul, George, and Ben. ",Storytelling; Founding Fathers of the United States,,,,,,,video/mp4,,,
coll02,,XIYfcOa_gSY,,Book Talk,"Fanara, Rose",9/26/2025,"Book talk for teenagers created for LIS 663, encouraging young readers to read Harry Potter.",Book talks; Harry Potter,,,,,,,video/mp4,,,
coll03,,ARxpQgh6yx8,,Storytelling with Prop,"Fanara, Rose",2/27/2024,"Storytime created for LIS 619, featuring a prop to illustrate a childhood gymnastics memory.",Storytelling; Gymnastics,,,,,,,video/mp4,,,
coll04,EDIPoster620.pdf,,,EDI Poster,"Fanara, Rose",11/14/2023,"Virtual poster assessing the diversity, equity, and inclusion of the Fredericksburg library's online presence ",Virtual libraries; Diversity,,,,,,,application/pdf,,,
coll05,Libraryprogrampresentation.pdf,,,Library Program Presentation,"Fanara, Rose",12/3/2024,Presentation advocating for a library program providing hair care services to patrons ,Library services to homeless persons,,,,,,,application/pdf,,,
coll06,FDRLibrary.pdf,,,Franklin D. Roosevelt Presidential Library Profile ,"Fanara, Rose",11/6/2023,"Analysis of the history, collection, and challenges of the Franklin D. Roosevelt Presidential Library",Presidential libraries; Franklin D. Roosevelt Library,,,,,,,application/pdf,,,
coll07,StudentSuccess.pdf,,,Student Success Initiatives in Academic Libraries ,"Fanara, Rose",4/3/2024,Analysis of the importance of Student Success Initiatives in academic libraries ,Student success programs; Academic libraries,,,,,,,application/pdf,,,
coll08,TrendsValues.pdf,,,Trends and Values of Academic Libraries,"Fanara, Rose",4/17/2024,Analysis of the trends of academic libraries in the 21st century and argument for the value of these institutions ,Academic libraries; Library trends,,,,,,,application/pdf,,,
coll09,CommunityLibrary.pdf,,,Community and Library Analysis ,"Fanara, Rose",9/10/2024,Research and analysis of the Fredericksburg Library and the community that it serves,Library use studies; Library patrons,,,,,,,application/pdf,,,
coll10,BookChallenges.pdf,,,Book Challenges ,"Fanara, Rose",1/18/2024,"Description of the dangers of book challenges, a recent trend in libraries in America. ",Library censorship ,,,,,,,application/pdf,,,
,,,,,,,,,,,,,,,application/pdf,,,
